movie_name,word_sum,token_sum
Arctic-Blue,1745,1771
Five-Easy-Pieces,4712,4700
Gang-Related,7973,8028
Guardians-of-the-Galaxy-Vol-2,5129,5279
Amadeus,10091,10595
Crank,5161,4954
Jimmy-and-Judy,6972,7187
Austin-Powers-The-Spy-Who-Shagged-Me,7001,7439
In-the-Bedroom,10140,10364
John-Wick,1935,1880
Brick,5912,6167
Arsenic-and-Old-Lace,10206,10326
Space-Milkshake,9651,10638
Sex-and-the-City,11495,11022
Un-Singe-en-Hiver,9690,10979
Zerophilia,2348,2387
42,12067,12736
Serenity,7736,7894
Only-God-Forgives,5064,5000
Princess-Bride-The,4526,3089
La-La-Land,5324,5145
Les-Miserables,6023,6254
Petulia,7652,8148
Se7en,9697,9594
Coriolanus,9829,10771
A-Serious-Man,9505,10298
Bad-Lieutenant,4065,4169
Entrapment,4147,4224
Blade,3065,3041
Observe-and-Report,11722,12023
Thunderheart,5844,5953
Elizabeth-The-Golden-Age,6901,7203
Drive,3606,3459
American-Beauty,3259,3294
Mission-to-Mars,4191,4278
Finding-Nemo,9018,9626
Storytelling,2083,2117
You-Can-Count-On-Me,8676,8345
Rush-Hour-2,6841,7003
Boxtrolls-The,5678,5920
One-Flew-Over-the-Cuckoos-Nest,8336,8711
Red-Riding-Hood,6560,6942
Walking-Tall,1772,1869
Argo,5922,6230
Silence-of-the-Lambs,10097,10179
Milk,12073,12422
Inglourious-Basterds,15946,17287
Colombiana,3044,3054
Scott-Pilgrim-vs-the-World,12863,13560
Visitor-The,4722,4888
Glengarry-Glen-Gross,5017,4873
Bound,3145,3219
Confidence,15880,16630
Basic-Instinct,5044,5117
Blade-Runner,3132,3214
State-and-Main,7824,7522
Die-Hard,5993,5980
Shipping-News-The,5070,5200
Peggy-Sue-Got-Married,9927,10255
Gremlins-2,9881,10000
Graduate-The,8022,8059
Coco,8345,8328
Deer-Hunter-The,5431,5147
Interstellar,6106,6114
Flight,7053,7259
Last-Flight-The,8693,9066
Out-of-Sight,9585,9945
TRON-Legacy,5084,5318
Mighty-Joe-Young,3618,3517
Black-Dahlia-The,7255,7912
Amour,4189,4132
500-Days-of-Summer,7114,7019
Fair-Game,7346,7719
Little-Mermaid-The,322,325
Bling-Ring-The,3863,3899
Evil-Dead-II-Dead-by-Dawn,822,811
Trainspotting,279,294
Bounty-Hunter-The,7183,7261
American-Milkshake,6345,6626
Saving-Mr-Banks,11514,12416
Breakdown,4253,4283
Suspect-Zero,4711,4815
Mumford,7618,7366
Fletch,6467,6733
True-Grit,34,40
Cradle-2-the-Grave,5557,5430
Buried,8517,8699
Harold-and-Kumar-Go-to-White-Castle,13144,13734
Next,3731,3742
I-am-Sam,9756,10085
Salton-Sea-The,5157,5291
Mighty-Morphin-Power-Rangers-The-Movie,1840,1911
Machete,2544,2646
Dark-Knight-Rises-The,8615,8947
Birds-The,6265,6435
Sweeney-Todd-The-Demon-Barber-of-Fleet-Street,7607,7538
Producer-The,7898,8252
Braveheart,4357,4475
Midnight-in-Paris,7042,7264
Despicable-Me-2,4927,5095
South-Park,8034,8272
Crow-The,2236,2228
Snow-White-and-the-Huntsman,9799,10177
Snow-Falling-On-Cedars,6945,7138
Robin-Hood-Prince-of-Thieves,11627,12457
Honeydripper,4904,5250
Phone-Booth,10447,10542
Christ-Complex,2640,2639
Feast,2744,2772
Danish-Girl-The,3110,3009
Deadpool,6322,6580
RKO-281,7233,7463
Lock-Stock-and-Two-Smoking-Barrels,3855,3905
Last-Boy-Scout-The,17574,18509
Gandhi,10146,9920
Take-Shelter,8320,8890
Wild-Hogs,10957,11591
Hostage,5777,5997
Ghost-World,11780,11333
Kafka,4376,4192
War-for-the-Planet-of-the-Apes,3034,2833
Awakenings,6261,6296
Dave-Barrys-Complete-Guide-to-Guys,6103,6159
Rise-of-the-Planet-of-the-Apes,6072,6326
It,4284,4530
S-Darko,3801,3720
Sweet-Hereafter-The,3099,3188
Thor-Ragnarok,5332,5584
Bodyguard,14860,15345
A-Quiet-Place,318,248
Thunderbirds,3507,3765
Fighter-The,11835,13056
Shallow-Grave,4021,4038
Wanted,12242,12560
Croods-The,5107,5238
Bringing-Out-the-Dead,6165,6286
Gremlins,7053,7374
Killing-Zoe,3734,3721
Schindlers-List,6542,6567
Tin-Cup,9895,9692
While-She-Was-Out,2489,2582
Law-Abiding-Citizen,7713,7660
Strange-Days,9568,9718
Code-of-Silence,2157,2304
American-Shaolin-King-of-Kickboxers-II,6339,6473
Perfect-World-A,17580,18942
Anniversary-Party-The,5047,5179
